alcohol	chlorides	citric acid	density	fixed acidity	free sulfur dioxide	pH	quality	residual sugar	sulphates	total sulfur dioxide	type	volatile acidity
9.4	0.053	0.38	0.99787	6.6	49	3.3	6	9.7	0.57	226	1	0.39
10.4	0.038	0.24	0.9952	6.6	28	3.35	6	7.2	0.6	137	1	0.26
11.2	0.047	0.18	0.99164	6.8	30	3.27	6	1.4	0.54	90	1	0.14
9.2	0.047	0.24	0.99604	6.4	41	3.11	5	7.2	0.6	151	1	0.38
10.7	0.04	0.26	0.99278	6.3	108	3.07	7	4.7	0.75	168	1	0.2
9.3	0.041	0.61	0.99794	7.7	66	3	5	11.8	0.54	188	1	0.32
10.8	0.036	0.25	0.99362	6.6	21	3.06	6	8	0.38	124	1	0.3
11	0.021	0.27	0.99442	7.6	57	3.08	7	8.8	0.38	156	1	0.31
12.4	0.02	0	0.98918	5.8	33	3.29	6	1.5	0.38	96	1	0.58
11.2	0.018	0.34	0.99474	8.7	23	3.12	7	4.8	0.49	127	1	0.3
11	0.047	0.33	0.99283	6.8	42	3.12	6	4.9	0.56	130	1	0.19
12.3	0.035	0.37	0.99058	7	34	3.26	6	1.6	0.47	126	1	0.29
9.5	0.036	0.33	0.99306	6.6	17	3.27	6	1.4	0.61	109	1	0.085
10.5	0.035	0.47	0.99456	5.7	49	3.03	8	11.4	0.34	128	1	0.15
13	0.032	0.28	0.98946	5.8	46	3.16	8	4.3	0.57	115	1	0.32
13.2	0.036	0.16	0.98856	5.4	34	3.2	8	2.7	0.53	128	1	0.53
13	0.032	0.28	0.98946	5.8	46	3.16	8	4.3	0.57	115	1	0.32
12.2	0.032	0.58	0.99275	6.9	29	3.28	6	8.2	0.44	169	1	0.58
8.7	0.085	0.25	1.00044	7.2	19	3.1	5	18.8	0.51	111	1	0.23
10.8	0.03	0.27	0.99402	6	39	3.15	5	12	0.34	98	1	0.16
11.4	0.027	0.26	0.9931	7.4	23	2.98	6	8.8	0.41	112	1	0.22
10.5	0.037	0.27	0.99444	7.1	19	3.04	7	9.6	0.37	105	1	0.2
10.2	0.044	0.41	0.99742	6.8	79.5	3.24	6	12.9	0.78	182	1	0.15
10.1	0.076	0.27	0.99344	7	24	3.1	5	1.5	0.52	145	1	0.3
9.2	0.05	0.22	0.99904	6.6	23	3.06	5	18.15	0.5	139	1	0.26
11.9	0.024	0.27	0.99095	6.3	40	3.35	7	2.5	0.6	152	1	0.34
9.8	0.068	0.23	0.99382	7.7	28	3.11	5	2	0.62	138	1	0.3
12.5	0.029	0.34	0.98954	6.5	39	3.21	6	1.6	0.68	116	1	0.19
12.7	0.026	0.48	0.99144	6.5	18	3.22	4	8	0.79	88	1	0.32
9	0.051	0.28	0.99792	7	29	2.96	7	14.7	0.39	149	1	0.15
9	0.051	0.28	0.99792	7	29	2.96	7	14.7	0.39	149	1	0.15
9	0.07	0.3	0.99654	6.8	67	2.89	6	10.6	0.42	194	1	0.22
11	0.015	0.32	0.99278	7.8	47	2.99	6	7.4	0.39	124	1	0.19
11	0.016	0.32	0.99186	7.8	31	2.99	6	5	0.39	101	1	0.2
13.4	0.026	0.15	0.98953	5.4	29	3.39	8	2.1	0.77	130	1	0.46
9.4	0.033	0.17	0.99754	6.9	59	3.08	5	12.9	0.49	186	1	0.4
9.4	0.033	0.17	0.99754	6.9	59	3.08	5	12.9	0.49	186	1	0.4
10.6	0.035	0.29	0.99567	6.3	53	3.17	6	13.7	0.38	134	1	0.24
12	0.014	0.31	0.99094	7.4	15	3.03	4	2.4	0.65	143	1	0.27
11.4	0.022	0.3	0.99099	6.3	38	3.42	7	1.4	0.57	100	1	0.15
9.7	0.04	0.39	0.99794	6.7	61	3.31	5	12.1	0.58	248	1	0.42
10.3	0.036	0.3	0.99242	8.1	7	2.99	5	1.3	0.73	49	1	0.2
10.8	0.042	0.34	0.99278	7.2	16	2.99	6	6.4	0.4	111	1	0.17
10.7	0.039	0.2	0.99158	6.3	34	3	5	3.7	0.38	132	1	0.3
11.3	0.042	0.3	0.9911	7.3	31	3.05	7	2.5	0.56	104	1	0.24
12.4	0.05	0.33	0.99002	8	41	3	6	1.2	0.45	103	1	0.27
10.6	0.047	0.43	0.99628	8.2	18	3.23	5	7	0.64	87	1	0.31
12.6	0.023	0.32	0.99262	6.7	20	3.34	6	9	0.35	109	1	0.24
12.5	0.031	0.26	0.99198	6.6	26	3.4	7	4.6	0.73	120	1	0.32
10.1	0.045	0.19	0.99364	6.5	98	3.16	6	6.6	0.34	175	1	0.27
13.1	0.04	0.38	0.98968	6	41	3.24	6	4.8	0.56	101	1	0.31
8.6	0.054	0.54	0.99864	7.3	63	3.06	4	13.3	0.49	193	1	0.36
8.9	0.047	0.24	0.99896	6	42	3.1	6	17.8	0.45	111	1	0.28
12.5	0.029	0.36	0.99076	7.2	21	3.13	6	2	0.63	63	1	0.24
8.9	0.047	0.24	0.99896	6	42	3.1	6	17.8	0.45	111	1	0.28
10.8	0.049	0.37	0.99226	7.1	28	3.15	5	1.5	0.52	129	1	0.2
10.4	0.035	0.3	0.9954	7	72	2.99	6	12.3	0.57	172	1	0.24
11	0.035	0.34	0.99176	8.5	54	3.07	7	1.3	0.55	110	1	0.23
12.5	0.036	0.3	0.99028	6.5	34	3.25	7	3.8	0.63	88	1	0.33
12.5	0.036	0.3	0.99028	6.5	34	3.25	7	3.8	0.63	88	1	0.33
11.2	0.037	0.24	0.99174	6.2	45	3.23	7	4.8	0.43	138	1	0.39
13.6	0.04	0.3	0.99021	7.1	49	3.17	6	6.2	0.27	139	1	0.37
11.2	0.037	0.24	0.99174	6.2	45	3.23	7	4.8	0.43	138	1	0.39
10.2	0.057	0.34	0.99751	7.3	46	3.14	5	14.8	0.57	173	1	0.36
10.7	0.04	0.3	0.99222	7.3	26	3.28	6	1.3	0.53	84	1	0.27
10.3	0.042	0.25	0.99486	5.7	16	3.44	6	7.95	0.61	108	1	0.23
11	0.048	0.32	0.99282	6.2	47	3.21	6	6.3	0.6	159	1	0.27
11	0.048	0.32	0.99281	6.1	47	3.22	6	6.2	0.6	161	1	0.27
8.8	0.066	0.2	0.9991	6.3	36	3.14	5	17.9	0.51	161	1	0.33
13	0.032	0.27	0.99088	7.2	40	3.17	7	5.8	0.53	118	1	0.58
10.7	0.036	0.27	0.9928	6.3	81	3.05	7	4.5	0.76	157	1	0.22
11.9	0.033	0.26	0.9903	6.1	61	3.19	7	1.7	0.81	134	1	0.24
9.2	0.06	0.41	0.99317	6.9	36	2.99	5	1.1	0.39	104	1	0.2
10.5	0.041	0.32	0.99173	6.7	26	2.9	7	3.7	0.57	76	1	0.19
11	0.048	0.34	0.99455	6.7	32	3.25	7	8.9	0.54	111	1	0.28
10.5	0.053	0.49	0.9942	6.4	25	3.01	6	5.8	0.98	120	1	0.24
9.5	0.062	0.57	0.99238	6.4	21	3	5	1	0.4	122	1	0.25
9.2	0.052	0.48	0.99782	6.1	25	3.07	6	15.8	0.45	94	1	0.25
9.5	0.062	0.57	0.99238	6.4	21	3	5	1	0.4	122	1	0.25
12.8	0.041	0.29	0.98944	6	37	3.22	7	3.1	0.39	144	1	0.26
9.8	0.051	0.24	0.99588	6.5	56	3.08	6	11.5	0.56	171	1	0.46
11.6	0.046	0.27	0.99126	6	50	3.27	6	4.1	0.56	147	1	0.28
12.4	0.033	0.16	0.99058	6.1	8	3.35	4	4.4	0.47	109	1	1.1
9.3	0.053	0.22	0.99545	6.2	45	3.23	5	7.9	0.52	149	1	0.24
8.7	0.05	0.27	0.9984	7.4	25	2.9	7	15.5	0.43	135	1	0.16
9	0.05	0.28	0.99971	7.2	33	2.94	7	17.55	0.43	154	1	0.17
11.3	0.034	0.36	0.99058	6.8	32	3.02	6	1.3	0.58	98	1	0.16
11.4	0.036	0.36	0.99056	6.6	38	3.05	6	1.9	0.54	110	1	0.17
11.3	0.034	0.36	0.99058	6.8	32	3.02	6	1.3	0.58	98	1	0.16
10	0.048	0.01	0.99362	6.4	20	3.19	5	6.1	0.42	70	1	0.41
10.6	0.062	0.28	0.99506	6.9	22	3.16	5	8.3	0.72	166	1	0.38
9.9	0.048	0.27	0.99498	6.1	41	3.21	5	8	0.51	162	1	0.28
8.5	0.054	0.16	0.99398	6.5	11	3.19	5	1.3	0.39	107	1	0.36
10.4	0.052	0.28	0.99432	5.4	27	3.19	6	7.8	0.38	91	1	0.265
10.6	0.046	0.28	0.99432	5.9	37	3.23	6	8.6	0.53	142	1	0.23
10	0.057	0.28	0.99425	6.4	21	3.26	6	7.9	0.36	82	1	0.14
11	0.046	0.34	0.99299	6.6	30	3.22	5	5.6	0.38	140	1	0.21
12.3	0.037	0.26	0.99727	6.8	45	3.04	6	20.3	0.38	150	1	0.3
11.2	0.041	0.29	0.99036	6.1	32	3.26	6	1.1	0.57	92	1	0.17
10.3	0.059	0.34	0.99538	6.7	51	3.33	5	6.8	0.56	215	1	0.31
9.1	0.048	0.26	0.9964	7.4	47	3.26	5	8.6	0.36	206	1	0.31
11.3	0.046	0.24	0.99234	5.9	27	3.63	5	2.4	0.73	132	1	0.26
12.7	0.041	0.32	0.98949	6.6	8	3.22	6	1.5	0.39	72	1	0.23
10.4	0.052	0.29	0.99544	6.8	51	3.02	6	11.9	0.58	149	1	0.28
10.4	0.052	0.29	0.99544	6.8	51	3.02	6	11.9	0.58	149	1	0.28
11	0.054	0.35	0.99287	6.8	53	3.1	7	5.4	0.54	143	1	0.18
9.5	0.049	0.47	0.9927	6.1	50	3.19	5	1.4	0.45	187	1	0.3
8.7	0.056	0.3	0.99825	7.4	33	2.9	7	13.7	0.44	168	1	0.16
8.7	0.056	0.3	0.99825	7.4	33	2.9	7	13.7	0.44	168	1	0.16
10.7	0.063	0.35	0.99184	7	13	3.22	5	1.6	0.5	119	1	0.31
13.1	0.04	0.32	0.98886	6.3	39	3.31	8	1	0.4	118	1	0.17
12	0.04	0.37	0.99009	6.6	31	3.15	5	1.6	0.66	101	1	0.22
11.1	0.048	0.39	0.99133	6.9	25	3.2	7	2.4	0.54	157	1	0.35
10.6	0.037	0.33	0.99164	6.4	35	3.23	6	1.7	0.66	113	1	0.25
9.4	0.052	0.4	0.9986	6.9	81	3.2	5	15.4	0.69	198	1	0.24
9.9	0.055	0.56	0.99605	7.5	15	3.13	6	9.7	0.65	170	1	0.38
12.6	0.04	0.28	0.9903	6.4	24	3.26	7	4	0.64	81	1	0.33
9.4	0.052	0.4	0.9986	6.9	81	3.2	5	15.4	0.69	198	1	0.24
10.5	0.043	0.32	0.99236	7.6	23	3.06	5	1.2	0.68	72	1	0.27
9.6	0.097	0.21	0.9939	6.4	21	3.07	5	5.1	0.46	105	1	0.21
12.4	0.045	0.33	0.99066	8.1	26	2.98	6	1.3	0.44	100	1	0.27
11.7	0.033	0.27	0.99086	6.7	25	3.05	6	2.6	0.34	85	1	0.41
10.8	0.036	0.3	0.991	6.1	42	3.34	7	1.2	0.56	107	1	0.25
12.5	0.029	0.35	0.99092	5.4	26	3.29	7	6.5	0.44	87	1	0.22
10.4	0.056	0.57	0.99464	5.6	66	3.25	7	10.7	0.61	171	1	0.255
10.4	0.052	0.33	0.9938	6.3	23	3.23	6	6.9	0.46	118	1	0.23
10.4	0.05	0.3	0.99204	6.3	23	3.24	6	2	0.47	120	1	0.22
10.5	0.03	0.3	0.99192	7.5	27	3.05	5	1.2	0.68	80	1	0.23
9.2	0.04	0.18	0.99736	6.4	21	3.14	5	15	0.5	116	1	0.29
10.1	0.145	0.47	0.99274	6.6	26	3.09	6	1.4	0.56	124	1	0.36
9.8	0.053	0.26	0.99676	6.7	44	3.2	6	14.8	0.35	95	1	0.11
11.2	0.038	0.22	0.99184	6.2	44	3.22	6	5.25	0.4	145	1	0.36
13	0.027	0.2	0.98886	5.2	27	3.56	7	2.4	0.45	117	1	0.31
10.3	0.054	0.35	0.99474	7.2	37	3.08	5	5.5	0.5	183	1	0.22
10.1	0.04	0.29	0.99126	5.6	5	3.07	4	2.3	0.45	47	1	0.18
10.1	0.059	0.24	0.99773	5.7	23	3.3	5	17.8	0.5	124	1	0.26
10.1	0.059	0.24	0.99773	5.7	23	3.3	5	17.8	0.5	124	1	0.26
11	0.049	0.26	0.9928	6	22	3.15	6	6.8	0.42	93	1	0.2
9.4	0.208	0.3	0.99478	6.3	60	3.1	6	6.6	0.4	154	1	0.28
10	0.034	0.39	0.99616	7.1	25	3.05	6	11.1	0.52	204	1	0.39
12.5	0.043	0.29	0.9902	6.9	33	3.16	6	4.2	0.31	114	1	0.26
9.4	0.086	0.2	0.99681	7.2	17	3.13	5	10.4	0.4	94	1	0.585
12.8933333333333	0.035	0.24	0.9901	6.7	33	3.12	7	5.4	0.44	115	1	0.41
8.8	0.057	0.27	0.99807	7.3	45	2.94	8	13.9	0.41	155	1	0.19
8.8	0.057	0.27	0.99807	7.3	45	2.94	8	13.9	0.41	155	1	0.19
8.8	0.057	0.27	0.99807	7.3	45	2.94	8	13.9	0.41	155	1	0.19
10.4	0.024	0.25	0.99234	5.8	21	3.37	6	1.5	0.58	109	1	0.22
11.3	0.034	0.3	0.99121	7.1	62	3.03	7	2.6	0.56	148	1	0.23
9.4	0.108	0.28	0.99738	7.2	43	2.96	5	10.4	0.57	187	1	0.34
9.8	0.062	0.2	0.99461	7.2	52	3.17	6	5.8	0.44	203	1	0.34
12.6	0.035	0.28	0.98959	5.9	16	3.26	6	3.2	0.42	117	1	0.29
11.3666666666667	0.038	0.23	0.99157	7.1	23	3.05	6	3.5	0.37	112	1	0.23
12.5	0.043	0.28	0.98918	6.1	24	3.14	6	1.7	0.44	98	1	0.26
11	0.041	0.32	0.99235	6	40	3.22	6	4.8	0.54	186	1	0.32
11.3333333333333	0.035	0.27	0.9914	6.5	32	3.21	6	2.6	0.76	76	1	0.13
11	0.043	0.31	0.9924	6	54	3.28	6	5	0.52	170	1	0.27
9.3	0.036	0.29	0.99534	6.7	28	3.08	6	7.1	0.36	100	1	0.26
9.2	0.057	0.44	0.99804	6.2	39	3.14	5	15.8	0.51	167	1	0.25
9.73333333333333	0.066	0.46	0.99362	5.2	41	3.19	5	6.2	0.42	187	1	0.22
9.4	0.044	0.16	0.99512	5.9	48	3.21	5	7.9	0.36	197	1	0.29
11.5	0.041	0.27	0.99335	7.1	26	3.04	7	10.4	0.52	114	1	0.27
9.1	0.061	0.22	0.99824	6.3	26	3.08	5	16	0.5	141	1	0.305
9.75	0.069	0.47	0.99391	5.7	35	3.11	5	6.3	0.46	182	1	0.24
10.5	0.04	0.28	0.9917	6.2	24	3.19	6	2.2	0.48	125	1	0.22
8.8	0.047	0.23	0.99906	6.6	37	3.08	6	17.3	0.46	118	1	0.22
9.8	0.048	0.16	0.99428	7.2	14	3.09	5	5.9	0.49	125	1	0.47
9.8	0.048	0.16	0.99428	7.2	14	3.09	5	5.9	0.49	125	1	0.47
9.5	0.049	0.19	0.99514	6.3	47	3.22	5	7.7	0.48	184	1	0.3
12.5	0.035	0.29	0.98916	6.6	15	3.04	6	2.9	0.37	101	1	0.38
9.3	0.053	0.56	0.9981	6.6	32	3.11	5	15.4	0.49	141	1	0.26
11.3	0.051	0.24	0.99036	6.2	31	3.24	6	1.2	0.57	95	1	0.21
12.1	0.039	0.28	0.9899	6.2	24	3.36	6	1.1	0.47	78	1	0.2
12.4	0.036	0.33	0.98945	5.7	37	3.26	6	1.9	0.58	110	1	0.22
9.6	0.05	0.26	0.99514	6.4	53	3.14	5	7.9	0.5	180	1	0.32
13.1	0.038	0.23	0.98898	6.1	13	2.97	6	4.2	0.7	95	1	0.28
11	0.053	0.33	0.992	7.8	36	3.2	6	2.4	0.55	175	1	0.27
10.7	0.051	0.23	0.9943	6.5	20	3.03	5	8.5	0.42	138	1	0.32
9.8	0.049	0.17	0.993	6.8	26	3	6	5.1	0.38	82	1	0.17
9.8	0.049	0.33	0.9944	9	10	3.14	6	3.5	0.36	40	1	0.2
11.4	0.056	0.21	0.9908	5.8	35	3.32	6	1.3	0.33	121	1	0.12
10.1	0.049	0.37	0.9937	8.3	6	3.18	5	1.2	0.52	94	1	0.18
11.05	0.026	0.36	0.9956	8.3	13	3.13	5	8.8	0.35	60	1	0.14
11.1	0.037	0.37	0.9948	6.9	16	3.05	5	9.1	0.54	76	1	0.28
12.75	0.026	0.3	0.98963	5.8	36	3.26	6	3.9	0.58	105	1	0.28
10.5	0.047	0.22	0.998275	6.4	51	3.39	5	14.7	0.6	183	1	0.46
12.7	0.025	0.34	0.98961	6	23	3.36	6	1.3	0.37	111	1	0.23
9.7	0.042	0.46	0.997	6.1	61	3.17	6	12	0.59	210	1	0.37
10.8	0.028	0.3	0.9954	5.6	28	3.49	7	10.2	0.42	131	1	0.18
12	0.03	0.26	0.9948	8.6	43.5	3.03	5	11.1	0.49	171	1	0.36
13.05	0.024	0.32	0.98823	5.6	29	3.2	7	1.2	0.46	97	1	0.22
12.9	0.03	0.26	0.9908	6.2	39	3.08	7	9.7	0.56	102	1	0.2
10	0.05	0.34	0.99754	6.3	25	3.21	6	11.4	0.49	96	1	0.15
11.1	0.05	0.33	0.99304	6.4	30	3.26	5	5.2	0.58	137	1	0.3
11	0.042	0.78	0.99435	7	21	3.01	6	9.9	0.55	251	1	0.33
11	0.053	0.31	0.99544	6.5	20	3.2	6	13.55	0.56	113	1	0.36
12.9	0.035	0.3	0.989	5.8	26	3.32	6	2.2	0.47	129	1	0.42
13.4	0.069	0.29	0.99014	6.7	20	3.22	6	4.3	0.59	114	1	0.53
9.8	0.041	0.21	0.99441	5.8	48	3.16	5	7.2	0.49	146	1	0.34
9.8	0.04	0.2	0.99442	5.8	42	3.15	5	7.3	0.48	145	1	0.27
11.5	0.047	0.38	0.99158	7.5	30	3.22	7	1.4	0.52	95	1	0.305
11.2	0.034	0.23	0.99344	8.3	6	3.05	5	6.65	0.48	158	1	0.49
11.7	0.034	0.91	0.99394	6.3	50	3.39	6	8.2	0.49	199	1	0.3
11.6	0.041	0.34	0.98981	5.6	14	3.04	7	2	0.45	73	1	0.24
11.7	0.034	0.91	0.99394	6.3	50	3.39	6	8.2	0.49	199	1	0.3
10.9666666666667	0.048	0.41	0.9937	6	55	3.09	7	10.8	0.59	149	1	0.29
12.4	0.028	0.36	0.99272	7.3	44	3.14	6	8.2	0.41	111	1	0.17
10.15	0.034	0.34	0.99365	6.1	31	3.32	7	6.1	0.58	114	1	0.16
10.4666666666667	0.036	0.14	0.99212	4.9	69	3.47	5	1.3	0.46	168	1	0.335
11.8	0.028	0.52	0.99161	6	37	3.28	7	6.2	0.51	104	1	0.28
9.6	0.045	0.32	0.99636	6.5	41	3.18	6	9.9	0.52	128	1	0.25
10.2	0.058	0.04	0.99271	6.8	25	3.17	4	1.3	0.39	133	1	0.63
10.2	0.058	0.04	0.99271	6.8	25	3.17	4	1.3	0.39	133	1	0.63
9	0.035	0.32	0.99666	6.7	18	2.88	6	12.5	0.36	156	1	0.16
9	0.035	0.32	0.99666	6.7	18	2.88	6	12.5	0.36	156	1	0.16
9	0.035	0.32	0.99666	6.7	18	2.88	6	12.5	0.36	156	1	0.16
12.9	0.032	0.32	0.99188	6.7	29	3.13	7	9	0.65	113	1	0.35
9.8	0.041	0.33	0.99659	6.8	60	3.1	5	12.8	0.56	168	1	0.3
9.8	0.041	0.33	0.99659	6.8	60	3.1	5	12.8	0.56	168	1	0.3
10.8	0.051	0.16	0.99564	5.4	31	3.4	6	12.55	0.38	115	1	0.205
10.3	0.074	0.38	0.99132	4.8	47	3.31	6	1.2	0.4	130	1	0.225
9.9	0.043	0.15	0.99378	5.2	32	3.24	6	7.1	0.48	134	1	0.24
9.4	0.053	0.28	0.99489	6	37	3.06	6	7.7	0.5	132	1	0.25
10.2	0.036	0.33	0.99521	6.1	27	3.34	6	10.7	0.52	98	1	0.32
10.4	0.038	0.33	0.9954	6.9	33	3.04	6	12.7	0.65	116	1	0.31
11.7	0.031	0.38	0.99321	5.3	53	3.34	6	10.5	0.46	140	1	0.31
12.3	0.031	0.32	0.99234	6.1	41	3.25	7	9	0.26	134	1	0.24
11.65	0.026	0.31	0.9898	5.5	31	3.33	6	1.2	0.44	68	1	0.16
10.8	0.035	0.32	0.99215	6	36	3.23	6	3.6	0.46	133	1	0.27
13.6	0.035	0.26	0.98872	6	38	3.18	7	3.5	0.47	111	1	0.38
13.6	0.035	0.26	0.98872	6	38	3.18	7	3.5	0.47	111	1	0.38
9.1	0.035	0.27	0.99602	6.2	46	3.12	6	11	0.38	116	1	0.15
12.4	0.055	0.25	0.99171	6.4	28	3.27	8	5	0.5	138	1	0.32
10.3	0.076	0.4	0.99185	5.8	47	3.13	6	1.2	0.45	130	1	0.27
10.55	0.031	0.19	0.99704	5.8	28	2.97	6	19.4	0.4	106	1	0.315
9.8	0.043	0.1	0.99382	5.6	34	3.14	5	6.4	0.48	142	1	0.3
8.9	0.045	0.5	0.9974	6.7	38	3.04	6	12.1	0.53	127	1	0.3
10.3	0.042	0.19	0.99684	5.9	37	3.16	5	14.5	0.43	115	1	0.32
11.9	0.038	0.5	0.99189	6.4	42	3.18	7	5.8	0.53	111	1	0.31
10.4	0.053	0.24	0.9924	6	66	3.21	6	1.3	0.62	150	1	0.26
9.7	0.127	0.5	0.99212	5.8	63	3.1	5	1	0.45	178	1	0.36
9.2	0.042	0.35	0.9967	6.4	54	3.23	5	10.3	0.47	140	1	0.23
12.1	0.032	0.33	0.99258	6	22	3.1	7	9.9	0.43	90	1	0.32
10.7	0.057	0.26	0.9917	5.9	17	3.24	5	1.5	0.36	141	1	0.32
13.1	0.031	0.38	0.99154	6.5	54	3.03	6	7.8	0.42	216	1	0.28
11.6	0.038	0.15	0.99125	5.2	10	3.52	4	1.45	0.4	44	1	0.405
11.5	0.043	0.57	0.99004	6.2	50	3.17	6	1	0.36	92	1	0.28
12.2	0.038	0.09	0.99022	4.4	52	3.41	7	5.1	0.4	97	1	0.54
11.1	0.048	0.35	0.99146	7	67	3.05	6	2.5	0.56	161	1	0.36
11	0.045	0.34	0.99222	6	25	3.03	6	7.6	0.37	118	1	0.43
11.55	0.052	0.3	0.99069	5.9	42	3.31	6	1.3	0.47	86	1	0.22
11.2	0.048	0.21	0.99138	5.7	30	3.29	6	1.9	0.55	112	1	0.41
12.05	0.015	0.4	0.9897	5	20	3.37	6	1.9	0.55	98	1	0.2
10	0.048	0.36	0.99282	5.6	16	3.49	6	2.5	0.49	125	1	0.2
9.53333333333333	0.046	0.4	0.99494	6.6	68	3.15	6	8.1	0.5	170	1	0.34
11.5	0.035	0.17	0.98964	4.9	60	3.27	6	1.9	0.35	148	1	0.47
13	0.023	0.22	0.98928	6.2	5	3.04	7	1.9	0.79	56	1	0.41
9.2	0.052	0.36	0.9933	6.8	38	3.04	5	1.2	0.54	127	1	0.22
11.8	0.02	0.38	0.98941	6	22	3.26	6	0.8	0.32	98	1	0.21
9.8	0.098	0	0.9968	7.8	25	3.2	5	2.6	0.68	67	0	0.88
9.3	0.368	0.28	0.9968	8.1	16	3.11	5	1.7	1.28	56	0	0.56
9.2	0.341	0.51	0.9969	7.9	17	3.04	6	1.8	1.08	56	0	0.32
9.7	0.082	0.31	0.9982	7.6	23	3.52	5	2.3	0.65	71	0	0.39
9.4	0.08	0	0.9972	7.1	14	3.47	5	1.9	0.55	35	0	0.71
10.3	0.069	0.22	0.9968	8.1	9	3.3	5	2.2	1.2	23	0	0.66
9.2	0.079	0.4	0.998	8.8	19	3.44	5	2.2	0.64	52	0	0.4
9.2	0.084	0.26	0.9976	8.3	11	3.31	4	2.1	0.53	43	0	0.675
10.5	0.093	0.64	0.9986	8.8	9	3.54	5	2.2	0.66	42	0	0.41
9.1	0.086	0.47	0.997	7.4	21	3.36	5	2	0.57	73	0	0.5
10.3	0.069	0.48	0.9959	6.3	18	3.44	6	1.8	0.78	61	0	0.3
9.9	0.11	0.28	0.9972	8.6	20	2.93	6	1.9	1.95	136	0	0.49
9.5	0.079	0.26	0.9964	7.9	42	3.23	5	1.9	0.54	140	0	0.52
12.9	0.058	0.17	0.9932	4.7	17	3.85	6	2.3	0.6	106	0	0.6
9.3	0.122	0.52	0.9969	8.1	37	3.21	5	2	0.69	153	0	0.785
10	0.077	0.28	0.9978	8.3	11	3.39	6	1.9	0.61	40	0	0.54
9.4	0.082	0.12	0.997	7.8	7	3.37	6	2	0.5	28	0	0.56
13	0.049	0.09	0.9937	5.6	17	3.63	5	2.3	0.63	99	0	0.5
9.5	0.081	0.19	0.9962	7.8	15	3.33	5	2.1	0.54	105	0	0.56
9.6	0.09	0.11	0.9965	8.4	16	3.19	5	1.9	0.82	63	0	0.745
9.4	0.117	0.55	0.9968	8.1	32	3.17	5	1.8	0.62	141	0	0.67
10.2	0.074	0.1	0.9959	6.9	12	3.42	6	2.3	0.58	30	0	0.49
9.4	0.61	1	0.9996	9.2	32	2.74	4	3.4	2	69	0	0.52
9.2	0.072	0.02	0.9965	7.6	9	3.17	4	1.3	1.08	20	0	0.68
9.5	0.085	0.04	0.9958	6.9	19	3.35	5	1.5	0.78	49	0	0.5
9.5	0.08	0.21	0.9961	7.3	7	3.33	5	2	0.47	35	0	0.38
9.5	0.067	0.14	0.9969	8.8	10	3.19	5	2.4	0.59	42	0	0.61
9.3	0.27	0.49	0.9972	8.9	23	3.12	5	2	1.02	110	0	0.61
9.3	0.077	0.2	0.9971	6.8	11	3.54	5	1.8	0.58	65	0	0.61
9.5	0.082	0.32	0.9968	7.9	17	3.2	5	1.9	0.55	144	0	0.49
9.8	0.074	0.25	0.9974	6.4	21	3.57	6	1.9	0.62	49	0	0.37
11.4	0.061	0.06	0.9948	6.9	12	3.51	4	2.1	0.43	31	0	1.09
10.3	0.056	0.47	0.99695	9.6	9	3.22	7	1.4	0.82	24	0	0.32
9.2	0.088	0.35	0.9961	7	16	3.34	5	1.6	0.55	39	0	0.42
10.8	0.095	0.74	0.9994	12.8	9	3.2	7	2.6	0.77	28	0	0.3
10	0.083	0.24	0.99685	8	10	3.35	6	2.8	0.56	62	0	0.725
9.4	0.101	0.26	0.9957	7.4	16	3.15	5	2	0.57	72	0	0.53
10.5	0.073	0.25	0.99615	7.7	29	3.37	6	2.6	0.58	63	0	0.43
9.9	0.078	0.06	0.99625	8	12	3.37	6	1.8	0.52	49	0	0.38
9.6	0.09	0.2	0.998	8.5	18	3.34	6	2.8	0.7	58	0	0.37
9	0.065	0.09	0.99685	8.2	7	3.32	6	2.3	0.55	37	0	1
9.9	0.074	0	0.9972	7.1	16	3.47	6	1.8	0.7	34	0	0.6
9.2	0.075	0.37	0.998	9.4	5	3.22	5	2.2	0.62	13	0	0.34
10.5	0.085	0.47	0.99965	10	14	3.36	7	2.6	0.8	33	0	0.31
9.3	0.077	0.23	0.9963	7.9	23	3.28	5	1.8	0.67	49	0	0.37
10.9	0.064	0.49	0.9999	12.5	5	3.08	5	2.4	0.87	27	0	0.56
10.7	0.087	0.06	0.9965	7.9	27	3.36	6	4	0.67	61	0	0.545
12.6	0.073	0.45	0.9976	10.3	5	3.23	8	6.4	0.82	13	0	0.32
10.5	0.087	0.32	0.9991	8.9	10	3.38	7	5.6	0.77	47	0	0.4
10.3	0.073	0.55	0.9997	12	25	3.1	6	2	0.76	49	0	0.45
9.7	0.094	0.02	0.9993	7.2	5	3.67	5	2.3	0.8	31	0	0.65
9.6	0.08	0.06	0.99845	6.9	8	3.68	5	2.1	0.71	33	0	0.67
10	0.092	0.12	0.9994	8.3	12	3.51	5	2.6	0.72	28	0	0.705
9.4	0.082	0.32	0.9966	7.6	7	3.36	5	2.2	0.52	54	0	0.62
9.5	0.214	0.44	0.9994	10.3	5	3.19	6	2.4	0.63	12	0	0.43
10.4	0.082	0.12	0.99865	9.6	30	3.3	6	2.9	0.64	74	0	0.77
